,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2012,49,51,53,37,64,53,48
2013,68,66,61,63,74,84,74
2014,73,68,81,78,92,94,72
2015,98,108,101,101,103,108,104
2016,56,59,55,59,77,71,67
