LATITUDE ,LONGITUDE
41.6201,72.75146
41.78344,72.86219
41.21069,73.37947
41.08536,73.49113
41.74989,72.86757
41.7016,72.59314
41.31312,72.71227
41.31312,72.71227
41.06226,73.53135
41.31909,73.1191
41.49005,72.90702
41.49005,72.90702
41.28756,72.80147
41.34881,73.19421
41.29341,72.61982
41.18901,73.20639
41.31856,72.32506
41.38234,73.09446
41.03979,73.61223
